time,voltage,current,power
77.205,1.063,4.972,0.0
77.31,1.081,5.194,0.0
77.414,1.068,4.44,0.0
77.519,1.06,5.454,0.0
77.622,1.057,4.534,0.0
77.726,1.078,5.442,0.0
77.831,1.11,4.52,0.0
77.935,1.106,5.496,0.0
78.04,1.108,5.028,0.0
78.144,1.106,4.522,0.0
78.249,1.051,4.794,0.0
78.353,1.051,5.594,0.0
78.458,1.079,4.6,0.0
78.561,1.051,5.54,0.0
78.665,1.106,4.692,0.0
78.77,1.104,4.676,0.0
78.874,1.106,5.508,0.0
78.979,1.107,4.544,0.0
79.083,1.076,5.504,0.0
79.188,1.082,4.512,0.0
79.292,1.105,4.8,0.0
79.397,1.05,4.872,0.0
79.501,1.051,5.62,0.0
79.604,1.104,4.568,0.0
79.709,1.079,5.486,0.0
79.813,1.11,4.526,0.0
79.918,1.08,5.466,0.0
80.022,1.078,4.572,0.0
80.127,1.051,5.368,0.0
80.231,1.078,4.598,0.0
80.336,1.052,5.536,0.0
80.44,1.08,4.518,0.0
80.543,1.132,5.462,0.0
80.648,1.104,4.566,0.0
80.752,1.106,5.486,0.0
80.857,1.104,5.232,0.0
80.961,1.107,4.408,0.0
81.066,1.076,5.418,0.0
81.17,1.079,4.484,0.0
81.275,1.08,4.76,0.0
81.379,1.104,5.568,0.0
81.483,1.107,5.258,0.0
81.587,1.11,4.424,0.0
81.691,1.088,5.462,0.0
81.796,1.091,4.518,0.0
81.9,1.08,5.494,0.0
82.005,1.062,4.512,0.0
82.109,1.079,5.504,0.0
82.214,1.078,4.524,0.0
82.318,1.081,5.498,0.0
82.422,1.065,4.534,0.0
82.526,1.082,5.46,0.0
82.63,1.081,4.51,0.0
82.735,1.079,5.492,0.0
82.839,1.078,4.77,0.0
82.944,1.107,4.63,0.0
83.048,1.051,5.51,0.0
83.153,1.106,4.576,0.0
83.257,1.054,4.774,0.0
83.361,1.05,5.596,0.0
83.465,1.109,4.748,0.0
83.569,1.108,4.722,0.0
83.674,1.103,5.548,0.0
83.778,1.107,4.574,0.0
83.883,1.105,5.498,0.0
83.987,1.082,4.506,0.0
84.092,1.082,5.478,0.0
84.196,1.083,4.532,0.0
84.301,1.08,5.506,0.0
84.404,1.107,4.514,0.0
84.508,1.107,5.484,0.0
84.613,1.109,4.516,0.0
84.717,1.106,5.484,0.0
84.822,1.105,4.554,0.0
84.926,1.078,4.736,0.0
85.031,1.105,5.576,0.0
85.135,1.08,5.232,0.0
85.24,1.083,4.42,0.0
85.343,1.108,5.442,0.0
85.447,1.106,4.458,0.0
85.552,1.107,4.84,0.0
85.656,1.105,5.598,0.0
85.761,1.106,4.596,0.0
85.865,1.079,5.538,0.0
85.97,1.08,4.502,0.0
86.074,1.076,5.496,0.0
86.179,1.083,4.518,0.0
86.282,1.109,5.486,0.0
86.386,1.109,4.518,0.0
86.491,1.105,5.48,0.0
86.595,1.109,4.534,0.0
86.7,1.105,5.448,0.0
