time,voltage,current,power,pwm,running,stop_reason
4.892,0.922,0.000,0.000,0,0,1
4.995,0.911,0.000,0.000,0,0,1
5.100,0.891,0.000,0.000,0,0,1
5.203,0.925,0.000,0.000,0,0,1
5.308,0.904,0.000,0.000,0,0,1
5.412,0.924,0.000,0.000,0,0,1
5.516,0.918,0.000,0.000,0,0,1
5.620,0.899,0.000,0.000,0,0,1
5.724,0.940,0.000,0.000,0,0,1
5.828,0.902,0.000,0.000,0,0,1
5.932,0.932,0.000,0.000,0,0,1
6.036,0.921,0.000,0.000,0,0,1
6.140,0.935,0.000,0.000,0,0,1
6.245,0.964,0.000,0.000,0,0,1
6.348,0.957,0.000,0.000,0,0,1
6.453,1.006,0.000,0.000,0,0,1
6.556,0.973,0.000,0.000,0,0,1
6.660,0.968,0.000,0.000,0,0,1
6.765,1.002,0.000,0.000,0,0,1
6.868,1.004,0.000,0.000,0,0,1
6.973,1.044,0.000,0.000,0,0,1
7.077,1.063,0.000,0.000,0,0,1
7.181,1.057,0.000,0.000,0,0,1
7.285,1.080,0.000,0.000,0,0,1
7.388,1.057,0.000,0.000,0,0,1
7.493,1.102,0.000,0.000,0,0,1
7.597,1.098,0.000,0.000,0,0,1
7.701,0.846,0.000,0.000,0,0,1
7.805,0.830,0.000,0.000,0,0,1
7.910,0.823,0.000,0.000,0,0,1
8.013,0.819,0.000,0.000,0,0,1
8.118,0.849,0.000,0.000,0,0,1
8.221,0.867,0.000,0.000,0,0,1
8.325,0.875,0.000,0.000,0,0,1
8.430,0.880,0.000,0.000,0,0,1
8.533,0.858,0.000,0.000,0,0,1
8.638,0.838,0.000,0.000,0,0,1
8.741,0.817,0.000,0.000,0,0,1
8.846,0.840,0.000,0.000,0,0,1
8.950,0.835,0.000,0.000,0,0,1
9.053,0.846,0.000,0.000,0,0,1
9.158,0.842,0.000,0.000,0,0,1
9.262,0.856,0.000,0.000,0,0,1
9.366,0.876,0.000,0.000,0,0,1
9.470,0.870,0.000,0.000,0,0,1
9.574,0.830,0.000,0.000,0,0,1
9.678,0.844,0.000,0.000,0,0,1
9.783,0.858,0.000,0.000,0,0,1
9.886,0.863,0.000,0.000,0,0,1
9.990,0.862,0.000,0.000,0,0,1
10.095,0.876,0.000,0.000,0,0,1
10.198,0.839,0.000,0.000,0,0,1
10.303,0.830,0.000,0.000,0,0,1
10.407,0.855,0.000,0.000,0,0,1
10.511,0.829,0.000,0.000,0,0,1
10.615,0.826,0.000,0.000,0,0,1
10.720,0.827,0.000,0.000,0,0,1
10.823,0.837,0.000,0.000,0,0,1
