ts,acs1,acs2,ci,ti,bi,si,rpm,torque,score
1782175879.2999337,501,513,10,10,1,0,195750,15.6,674.0166160520607
1782175879.4002955,443,189,48,48,323,1.8432036654279074,40781,74.7,151.23685514771282
1782175879.4995925,485,512,6,6,0,1.5725365786786227,326250,9.3,1110.0025365786787
1782175879.5999842,498,513,7,7,1,1.223169608342758,279642,10.9,954.4097856604036
1782175879.7003195,360,193,131,131,319,12.64083715297329,14942,203.8,88.98802442701523
1782175879.7996142,494,513,3,3,1,12.306563022715949,652500,4.7,2207.7331790747767
1782175879.8999722,506,235,15,15,277,12.179292495068879,130500,23.3,457.4919389158931
1782175879.999988,249,403,242,242,109,7.0223204801878865,8088,376.4,86.89347015480827
1782175880.0996237,500,513,9,9,1,6.748249941950746,217500,14.0,753.1048659940116
1782175880.1999774,302,199,189,189,313,3.736582464803618,10357,294.0,74.0807400931478
1782175880.300297,394,482,97,97,30,3.4548119617899715,20180,150.9,104.50996019027878
1782175880.3997538,499,460,8,8,52,3.237771372870455,244687,12.4,837.8451394133622
1782175880.4999816,257,333,234,234,179,0,8365,364.0,76.51760665220534
1782175880.6996634,380,135,111,111,377,0,17635,172.7,79.69758496023138
1782175880.7996976,280,441,211,211,71,0,9277,328.2,80.66307302964569
1782175880.900068,441,510,50,50,2,0,39150,77.8,158.19323210412148
1782175880.9992115,197,82,294,294,430,0,6658,457.3,69.26823571945047
1782175881.0997615,421,496,70,70,16,0,27964,108.9,123.40919016630514
1782175881.2001472,485,512,6,6,0,0,326250,9.3,1108.43
1782175881.2993903,182,381,309,309,131,0,6334,480.7,83.50003615328995
1782175881.3997104,418,507,73,73,5,0,26815,113.6,120.52641359363703
1782175881.5003471,496,513,5,5,1,0,391500,7.8,1325.7366160520608
1782175881.5997326,340,472,151,151,40,0,12963,234.9,84.9646420824295
1782175881.7000818,480,512,11,11,0,0,177954,17.1,614.89
1782175881.8004858,476,509,15,15,3,0,130500,23.3,457.1998481561822
1782175881.8997347,478,507,13,13,5,0,150576,20.2,523.7230802603037
1782175882.0000834,455,513,36,36,1,0,54375,56.0,206.80661605206075
1782175882.100431,501,513,10,10,1,0,195750,15.6,674.0166160520607
1782175882.1997168,440,508,51,51,4,0,38382,79.3,155.69646420824296
1782175882.3001273,473,513,18,18,1,6.842659977863249,108750,28.0,392.099276029924
1782175882.4008389,496,513,5,5,1,6.71122492198991,391500,7.8,1332.4478409740507
1782175882.4998276,442,512,49,49,0,6.722820463833585,39948,76.2,167.5028204638336
1782175882.600239,484,513,7,7,1,6.7494414672669905,279642,10.9,959.9360575193277
1782175882.6997402,418,506,73,73,6,7.748026218044174,26815,113.6,128.23105586374194
1782175882.79993,478,513,13,13,1,7.355182431923254,150576,20.2,531.251798483984
1782175882.9002712,502,512,11,11,0,7.5638118003079455,177954,17.1,622.4538118003079
1782175882.9997365,462,512,29,29,0,7.855909938111964,67500,45.1,257.36590993811194
1782175883.099809,479,513,12,12,1,12.187194049564226,163125,18.7,577.763810101625
1782175883.2001495,497,512,6,6,0,12.113450656226377,326250,9.3,1120.5434506562265
1782175883.2995899,459,512,32,32,0,14.582593499138994,61171,49.8,243.46592683247232
1782175883.3998077,485,512,6,6,0,14.087454027042384,326250,9.3,1122.5174540270425
1782175883.5001187,493,512,2,2,0,13.950524567419805,978750,3.1,3296.76052456742
1782175883.5997488,476,513,15,15,1,19.597788864014717,130500,23.3,476.8844049160754
1782175883.7000694,493,513,2,2,1,19.68143289237399,978750,3.1,3302.4480489444345
