ts,acs1,acs2,ci,ti,bi,si,rpm,torque,weight,brush_peak,growth_pct
1782180054.1825416,307,466,205,205,46,3.933587786596533,18914,248.5,149.1,448,89.73214285714286
1782180054.2817135,488,515,24,24,3,4.11258917065517,29375,100.0,60.0,448,99.33035714285714
1782180054.3819222,70,168,442,442,344,0,8772,260.0,156.0,448,23.214285714285715
1782180054.4824853,510,514,2,2,2,0,29375,100.0,60.0,448,99.55357142857143
1782180054.5816536,513,513,1,1,1,0,29375,100.0,60.0,448,99.77678571428571
1782180054.682184,513,513,1,1,1,0,29375,100.0,60.0,448,99.77678571428571
1782180054.7821202,514,514,2,2,2,0,29375,100.0,60.0,448,99.55357142857143
1782180054.8814304,515,513,3,3,1,0,29375,100.0,60.0,448,99.77678571428571
1782180054.9818594,515,514,3,3,2,0,29375,100.0,60.0,448,99.55357142857143
1782180055.08129,513,513,1,1,1,0,29375,100.0,60.0,448,99.77678571428571
1782180055.18155,513,514,1,1,2,0,29375,100.0,60.0,448,99.55357142857143
1782180055.2820895,514,513,2,2,1,0,29375,100.0,60.0,448,99.77678571428571
1782180055.381597,513,515,1,1,3,0,29375,100.0,60.0,448,99.33035714285714
1782180055.4819167,514,513,2,2,1,0,29375,100.0,60.0,448,99.77678571428571
1782180055.5818903,515,515,3,3,3,0,29375,100.0,60.0,448,99.33035714285714
1782180055.6812046,513,513,1,1,1,0,29375,100.0,60.0,448,99.77678571428571
1782180055.7814689,514,514,2,2,2,0,29375,100.0,60.0,448,99.55357142857143
1782180055.8821802,427,513,85,85,1,0,29375,103.0,61.8,448,99.77678571428571
1782180055.981141,512,514,0,0,2,0,29375,100.0,60.0,448,99.55357142857143
1782180056.0815034,516,513,4,4,1,0,29375,100.0,60.0,448,99.77678571428571
1782180056.1819715,515,514,3,3,2,0,29375,100.0,60.0,448,99.55357142857143
1782180056.2811458,516,512,4,4,0,0,29375,100.0,60.0,448,100.0
1782180056.3815823,515,512,3,3,0,0,29375,100.0,60.0,448,100.0
1782180056.4819424,515,513,3,3,1,0,29375,100.0,60.0,448,99.77678571428571
1782180056.5812602,517,512,5,5,0,0,29375,100.0,60.0,448,100.0
1782180056.6815412,516,514,4,4,2,0,29375,100.0,60.0,448,99.55357142857143
1782180056.7820766,516,513,4,4,1,0,29375,100.0,60.0,448,99.77678571428571
1782180056.8813689,516,513,4,4,1,12.897863274072193,29375,100.0,60.0,448,99.77678571428571
1782180056.981538,514,513,2,2,1,12.75154251602305,29375,100.0,60.0,448,99.77678571428571
1782180057.0821192,516,513,4,4,1,13.797338272598054,29375,100.0,60.0,448,99.77678571428571
1782180057.181191,516,513,4,4,1,20.29791582259456,29375,100.0,60.0,448,99.77678571428571
1782180057.2817833,515,513,3,3,1,20.23806950959903,29375,100.0,60.0,448,99.77678571428571
1782180057.3821867,516,513,4,4,1,85.15977688098248,29375,100.0,60.0,448,99.77678571428571
1782180057.4812405,515,513,3,3,1,85.16625468736908,29375,100.0,60.0,448,99.77678571428571
1782180057.5816457,515,513,3,3,1,85.18169300418492,29375,100.0,60.0,448,99.77678571428571
1782180057.6819623,514,514,2,2,2,85.19065610276179,29375,100.0,60.0,448,99.55357142857143
1782180057.7813332,515,513,3,3,1,85.19744766752856,29375,100.0,60.0,448,99.77678571428571
1782180057.8817308,514,513,2,2,1,85.19065610276179,29375,100.0,60.0,448,99.77678571428571
1782180057.9819524,515,513,3,3,1,85.19065610276179,29375,100.0,60.0,448,99.77678571428571
1782180058.0812283,516,513,4,4,1,85.21126554884879,29375,100.0,60.0,448,99.77678571428571
1782180058.181746,515,513,3,3,1,85.22765346255977,29375,100.0,60.0,448,99.77678571428571
1782180058.28098,516,513,4,4,1,85.23984342148694,29375,100.0,60.0,448,99.77678571428571
1782180058.381357,516,514,4,4,2,85.26210477864781,29375,100.0,60.0,448,99.55357142857143
1782180058.4817183,515,513,3,3,1,85.26968356679932,29375,100.0,60.0,448,99.77678571428571
1782180058.5811355,515,512,3,3,0,85.26968356679932,29375,100.0,60.0,448,100.0
1782180058.681322,515,514,3,3,2,85.2873448275907,29375,100.0,60.0,448,99.55357142857143
1782180058.7817228,515,513,3,3,1,85.29516330514949,29375,100.0,60.0,448,99.77678571428571
1782180058.8809714,515,513,3,3,1,99.08045905172442,29375,100.0,60.0,448,99.77678571428571
1782180058.9814243,515,514,3,3,2,99.30079410121989,29375,100.0,60.0,448,99.55357142857143
1782180059.0817819,515,514,3,3,2,99.30958949409306,29375,100.0,60.0,448,99.55357142857143
1782180059.1809807,517,513,5,5,1,99.24796572182143,29375,100.0,60.0,448,99.77678571428571
1782180059.2814174,515,513,3,3,1,99.25464400750008,29375,100.0,60.0,448,99.77678571428571
1782180059.3817723,514,512,2,2,0,99.21897503240933,29375,100.0,60.0,448,100.0
1782180059.4810984,515,513,3,3,1,99.21897503240933,29375,100.0,60.0,448,99.77678571428571
1782180059.5815427,515,514,3,3,2,99.2843029815472,29375,100.0,60.0,448,99.55357142857143
1782180059.6817682,514,513,2,2,1,99.26590948181516,29375,100.0,60.0,448,99.77678571428571
1782180059.7810905,516,513,4,4,1,99.26590948181516,29375,100.0,60.0,448,99.77678571428571
1782180059.8814049,515,513,3,3,1,99.2819780257154,29375,100.0,60.0,448,99.77678571428571
1782180059.981879,515,514,3,3,2,99.31281572906373,29375,100.0,60.0,448,99.55357142857143
1782180060.081017,516,513,4,4,1,99.31281572906373,29375,100.0,60.0,448,99.77678571428571
1782180060.1816957,516,514,4,4,2,99.31281572906373,29375,100.0,60.0,448,99.55357142857143
1782180060.281777,513,513,1,1,1,99.2104853811782,29375,100.0,60.0,448,99.77678571428571
1782180060.381096,516,513,4,4,1,99.2104853811782,29375,100.0,60.0,448,99.77678571428571
1782180060.4814534,515,514,3,3,2,99.2104853811782,29375,100.0,60.0,448,99.55357142857143
1782180060.5818439,515,513,3,3,1,99.2104853811782,29375,100.0,60.0,448,99.77678571428571
1782180060.6810732,516,514,4,4,2,99.22182549800475,29375,100.0,60.0,448,99.55357142857143
1782180060.7814384,515,514,3,3,2,99.22182549800475,29375,100.0,60.0,448,99.55357142857143
1782180060.8818216,515,513,3,3,1,99.25166852264522,29375,100.0,60.0,448,99.77678571428571
1782180060.981087,516,513,4,4,1,99.23915251929911,29375,100.0,60.0,448,99.77678571428571
1782180061.0818381,515,514,3,3,2,99.25166852264522,29375,100.0,60.0,448,99.55357142857143
1782180061.1819654,515,513,3,3,1,99.25166852264522,29375,100.0,60.0,448,99.77678571428571
1782180061.281418,515,514,3,3,2,99.26590948181516,29375,100.0,60.0,448,99.55357142857143
1782180061.3819532,505,513,7,7,1,99.00222469686028,29375,100.0,60.0,448,99.77678571428571
1782180061.4811878,507,513,5,5,1,98.9565016105001,29375,100.0,60.0,448,99.77678571428571
1782180061.5815585,505,513,7,7,1,98.76892097915871,29375,100.0,60.0,448,99.77678571428571
1782180061.6820228,506,513,6,6,1,98.6914809049073,29375,100.0,60.0,448,99.77678571428571
1782180061.7810206,506,516,6,6,4,98.62563145812744,29375,100.0,60.0,448,99.10714285714286
1782180061.8816047,506,512,6,6,0,98.56977080313834,29375,100.0,60.0,448,100.0
1782180061.981696,505,513,7,7,1,98.46485614137741,29375,100.0,60.0,448,99.77678571428571
1782180062.081025,505,514,7,7,2,98.3775875301816,29375,100.0,60.0,448,99.55357142857143
1782180062.1815014,506,514,6,6,2,98.34806510755149,29375,100.0,60.0,448,99.55357142857143
